出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1809,中國製釉股份有限公司,玻璃陶瓷,0.05,新台幣                 10.0000元,592290.00,-256.00,3614.00,-389.00,2026-05-15
1150515,115,1,1810,和成欣業股份有限公司,玻璃陶瓷,3.64,新台幣                 10.0000元,1034852.00,-198009.00,1412863.00,1094013.00,2026-05-15
1150515,115,1,1817,凱撒衛浴股份有限公司,玻璃陶瓷,1.21,新台幣                 10.0000元,611528.00,117537.00,-1218.00,88416.00,2026-05-15
1150515,115,1,1903,士林紙業股份有限公司,造紙工業,-0.07,新台幣                 10.0000元,39188.00,-8436.00,-10388.00,-18980.00,2026-05-15
1150515,115,1,1904,正隆股份有限公司,造紙工業,0.56,新台幣                 10.0000元,10422205.00,696170.00,-19948.00,624347.00,2026-05-15
1150515,115,1,1906,寶隆國際股份有限公司,造紙工業,-0.03,新台幣                 10.0000元,824072.00,17339.00,-21624.00,-4159.00,2026-05-15
1150515,115,1,1909,榮成紙業股份有限公司,造紙工業,-0.02,新台幣                 10.0000元,10760215.00,15988.00,13270.00,-29778.00,2026-05-15
1150515,115,1,2002,中國鋼鐵股份有限公司,鋼鐵工業,-0.16,新台幣                 10.0000元,79161889.00,-620543.00,-346385.00,-1860153.00,2026-05-15
1150515,115,1,2006,東和鋼鐵企業股份有限公司,鋼鐵工業,1.66,新台幣                 10.0000元,13602390.00,1390762.00,130372.00,1218141.00,2026-05-15
1150515,115,1,2007,燁興企業股份有限公司,鋼鐵工業,-0.45,新台幣                 10.0000元,1050591.00,-140810.00,-84856.00,-241218.00,2026-05-15
1150515,115,1,2008,高興昌鋼鐵股份有限公司,鋼鐵工業,0.13,新台幣                 10.0000元,349981.00,34264.00,-8443.00,23924.00,2026-05-15
