出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,1522,堤維西,17352980.00,20557687.00,37910667.00,15531230.00,11838461.00,27369691.00,3428979.00,,2620082.00,3878031.00,168217.00,-5996.00,10089313.00,,,451663.00,10540976.00,0.00,0.00,939707.00,29.50,2026-05-15
1150515,115,1,1524,耿鼎,1776959.00,3574291.00,5351250.00,1131715.00,1335926.00,2467641.00,1653104.00,,1147.00,1184897.00,44461.00,0.00,,0.00,0.00,,2883609.00,0.00,0.00,0.00,17.44,2026-05-15
1150515,115,1,1525,江申,2768107.00,2990295.00,5758402.00,386523.00,278533.00,665056.00,734001.00,,1251.00,4488643.00,-130549.00,,5093346.00,,,,5093346.00,,0.00,0.00,69.39,2026-05-15
1150515,115,1,1526,日馳,1390560.00,869857.00,2260417.00,762634.00,157343.00,919977.00,600000.00,,95120.00,619232.00,26088.00,,1340440.00,,,,1340440.00,,0.00,0.00,22.34,2026-05-15
1150515,115,1,1527,鑽全,3703449.00,1716759.00,5420208.00,488625.00,45416.00,534041.00,1385706.00,,26932.00,3445039.00,28490.00,,,,,,4886167.00,,0.00,0.00,35.26,2026-05-15
1150515,115,1,1528,恩德,3576203.00,1772679.00,5348882.00,2573818.00,578707.00,3152525.00,1913310.00,,199445.00,93640.00,-58540.00,,2147855.00,,,48502.00,2196357.00,,0.00,0.00,11.23,2026-05-15
1150515,115,1,1531,高林股,3071247.00,1371510.00,4442757.00,492280.00,295432.00,787712.00,1821081.00,,199365.00,1694685.00,-60086.00,,3655045.00,,,,3655045.00,0.00,0.00,0.00,20.07,2026-05-15
1150515,115,1,1532,勤美,35106369.00,18367287.00,53473656.00,24279086.00,9947245.00,34226331.00,4226043.00,,2534034.00,7917852.00,428655.00,-163070.00,14943514.00,,,4303811.00,19247325.00,0.00,0.00,6341000.00,35.90,2026-05-15
1150515,115,1,1533,車王電,6295465.00,3473908.00,9769373.00,4065737.00,2762458.00,6828195.00,985475.00,,365668.00,1246363.00,-193407.00,,2404099.00,,,537079.00,2941178.00,0.00,0.00,0.00,24.40,2026-05-15
1150515,115,1,1535,中宇,4550141.00,2560118.00,7110259.00,2899878.00,240907.00,3140785.00,1237426.00,,630995.00,2187165.00,-86112.00,,3969474.00,,,,3969474.00,,0.00,0.00,32.08,2026-05-15
1150515,115,1,1536,和大,5819495.00,15507566.00,21327061.00,7142129.00,6500892.00,13643021.00,2789595.00,,3896081.00,936675.00,-95663.00,,7526688.00,,,157352.00,7684040.00,,0.00,0.00,26.98,2026-05-15
1150515,115,1,1537,廣隆,4928080.00,1036734.00,5964814.00,946784.00,404102.00,1350886.00,820628.00,,701478.00,2923328.00,168494.00,,4613928.00,,,,4613928.00,0.00,0.00,0.00,56.22,2026-05-15
1150515,115,1,1538,正峰,106653.00,151659.00,258312.00,94130.00,37687.00,131817.00,323000.00,,6066.00,-174494.00,-28783.00,,125789.00,,,706.00,126495.00,0.00,0.00,0.00,3.89,2026-05-15
1150515,115,1,1539,巨庭,1037743.00,1139660.00,2177403.00,398507.00,176615.00,575122.00,653700.00,,0.00,945501.00,3080.00,,1602281.00,,,0.00,1602281.00,0.00,0.00,0.00,24.51,2026-05-15
1150515,115,1,1540,喬福,1374176.00,328753.00,1702929.00,188469.00,8137.00,196606.00,854736.00,,154252.00,497335.00,,,,,,,1506323.00,0.00,0.00,0.00,17.62,2026-05-15
1150515,115,1,1541,錩泰,1949028.00,1204769.00,3153797.00,569429.00,425653.00,995082.00,788000.00,,1364.00,1360017.00,9334.00,0.00,2158715.00,,,0.00,2158715.00,,0.00,0.00,27.39,2026-05-15
