Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
03077T,台積電凱基63售08,,,,0.83,,,2026-05-15
030793,鴻海凱基68購01,,,,3.61,,,2026-05-15
03081T,南亞科群益5B售01,,,,0.34,,,2026-05-15
030827,大成鋼元大58購01,,,,0.72,,,2026-05-15
03082T,聯發科群益5A售14,,,,0.49,,,2026-05-15
03083T,聯發科凱基5A售14,,,,0.41,,,2026-05-15
03084T,臺股指元大5A售31,,,,0.78,,,2026-05-15
03085T,臺股指元大5A售32,,,,0.63,,,2026-05-15
03086T,燿華國票5A售03,,,,0.76,,,2026-05-15
03088T,台灣50國票5A售06,,,,0.95,,,2026-05-15
03090T,燿華凱基5A售04,,,,0.83,,,2026-05-15
03091T,T50正2永豐61售02,,,,0.75,,,2026-05-15
030935,全訊國票56購01,,,,0.01,,,2026-05-15
03093T,日本2X凱基5A售02,,,,1.06,,,2026-05-15
03094T,台玻凱基5B售03,,,,0.91,,,2026-05-15
03095T,京元電凱基5A售05,,,,0.76,,,2026-05-15
030967,鴻海凱基68購02,,,,3.78,,,2026-05-15
03096T,玉晶光凱基5A售02,,,,0.90,,,2026-05-15
03097T,威盛國票5B售05,,,,1.14,,,2026-05-15
030989,昇陽半凱基56購02,,,,4.10,,,2026-05-15
03098T,威盛國票5B售06,,,,1.16,,,2026-05-15
030996,大成鋼元大58購02,,,,0.70,,,2026-05-15
03099T,南亞科台新5A售06,,,,0.62,,,2026-05-15
031000,楠梓電元大58購01,,,,1.83,,,2026-05-15
03100T,臺股指台新5A售03,,,,1.03,,,2026-05-15
031019,欣興元大58購01,,,,46.40,,,2026-05-15
03101T,聯發科永豐5B售08,,,,0.70,,,2026-05-15
03102T,台灣50群益5A售07,,,,1.16,,,2026-05-15
031036,南電元大56購03,,,,30.00,,,2026-05-15
03103T,台灣50群益5A售08,,,,1.08,,,2026-05-15
03104T,台玻群益5A售06,,,,1.05,,,2026-05-15
03105T,台積電群益5A售19,,,,1.97,,,2026-05-15
031065,台達電中信56購01,,,,17.10,,,2026-05-15
03106T,聯發科群益5A售16,,,,1.00,,,2026-05-15
03107T,玉晶光群益5C售01,,,,0.72,,,2026-05-15
03108T,華邦電國泰5B售01,,,,0.60,,,2026-05-15
03110T,緯穎國票5B售06,,,,0.62,,,2026-05-15
03111T,緯穎國票5C售02,,,,0.74,,,2026-05-15
031123,緯穎元富58購02,,,,9.50,,,2026-05-15
03112T,T50正2台新5B售02,,,,1.02,,,2026-05-15
03113T,南亞科台新5A售08,,,,0.58,,,2026-05-15
031144,T50反1富邦58購01,,,,0.09,,,2026-05-15
