出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,051274,和椿統一65購01,488550.00,871000,2026-05-15
1150514,1150514,051275,和椿統一65購02,79830.00,150000,2026-05-15
1150514,1150514,051259,創意統一6C購01,979870.00,357000,2026-05-15
1150514,1150514,051257,創意統一5B購01,145260.00,30000,2026-05-15
1150514,1150514,051258,創意統一5C購01,94140.00,18000,2026-05-15
1150514,1150514,051287,富世達統一5C購02,2960.00,4000,2026-05-15
1150514,1150514,051282,康舒統一5B購01,75060.00,90000,2026-05-15
1150514,1150514,051416,迎廣統一59購01,43940.00,212000,2026-05-15
1150514,1150514,051417,迎廣統一59購02,130.00,1000,2026-05-15
1150514,1150514,051414,新日興統一57購01,0.00,0,2026-05-15
1150514,1150514,051437,道瓊銀統一61購01,1420.00,2000,2026-05-15
1150514,1150514,051418,迎廣統一59購03,0.00,0,2026-05-15
1150514,1150514,051443,矽格統一6C購01,16170.00,11000,2026-05-15
1150514,1150514,051440,京元電統一61購03,513210.00,761000,2026-05-15
1150514,1150514,058424,金寶統一55購01,0.00,0,2026-05-15
1150514,1150514,062342,南寶統一64購01,306290.00,313000,2026-05-15
1150514,1150514,06233U,美時統一58售02,48900.00,95000,2026-05-15
1150514,1150514,062343,新唐統一64購01,4400.00,2000,2026-05-15
1150514,1150514,06232U,華新統一58售05,0.00,0,2026-05-15
1150514,1150514,062340,漢唐統一64購02,1941120.00,2085000,2026-05-15
1150514,1150514,06237U,國巨統一56售04,0.00,0,2026-05-15
1150514,1150514,06239U,旺宏統一58售01,1780.00,26000,2026-05-15
1150514,1150514,062490,神達統一58購01,0.00,0,2026-05-15
1150514,1150514,062491,神達統一5C購01,0.00,0,2026-05-15
1150514,1150514,06254U,華邦電統一56售03,0.00,0,2026-05-15
1150514,1150514,06255U,華邦電統一58售04,0.00,0,2026-05-15
1150514,1150514,066129,直得統一59購01,6950.00,5000,2026-05-15
1150514,1150514,066130,直得統一61購01,62950.00,80000,2026-05-15
1150514,1150514,083636,矽力統一56購01,107220.00,401000,2026-05-15
1150514,1150514,083637,矽力統一56購02,111570.00,257000,2026-05-15
1150514,1150514,083513,泓德統一56購01,0.00,0,2026-05-15
1150514,1150514,083625,金像電統一56購03,0.00,0,2026-05-15
1150514,1150514,083638,訊芯統一56購01,0.00,0,2026-05-15
1150514,1150514,083640,晶心科統一56購01,0.00,0,2026-05-15
1150514,1150514,083512,晶心科統一59購01,12520.00,182000,2026-05-15
1150514,1150514,083508,智原統一56購05,8100.00,30000,2026-05-15
1150514,1150514,083509,智原統一56購06,350.00,1000,2026-05-15
1150514,1150514,083639,愛普統一56購01,52400.00,8000,2026-05-15
1150514,1150514,083642,勤誠統一5C購01,0.00,0,2026-05-15
1150514,1150514,083515,鈺齊統一56購02,0.00,0,2026-05-15
1150514,1150514,083507,鉅祥統一56購01,0.00,0,2026-05-15
1150514,1150514,083510,鈺邦統一56購02,49920.00,32000,2026-05-15
1150514,1150514,083511,鈺邦統一56購03,0.00,0,2026-05-15
1150514,1150514,083635,達興統一56購02,0.00,0,2026-05-15
